 TOT   INH   IND
14.5   3.5    .1    Chess calcMoveLists (540947)
14.4   3.4     -      Chess pieceDestinations (540947)
14.4   3.4   1.0        Chess movesFromLocs (540947)
13.5   2.5    .9          Chess movesFromLoc (6429221)
 4.2    .4    .1            Chess allowableKingMoves (413141)
 3.2    .2     -              Chess castleMoves (413141)
 2.6    .1     -                Chess kingSideCastlingMove (181758)
 2.5     -     -                  Chess inCheck (519672)
  .7    .2    .1                Chess castlingAvailable (413141)
  .4     -     -                  Chess castlingStatus (413141)
  .1     -     -                  Chess allEmpty (755731)
  .1     -     -                    Chess isEmpty (1155613)
  .1     -     -                      Chess isEmptyGrid (1155613)
  .8     -     -              Chess allowableSingleMoves (413141)
 1.7     -     -            Chess allowableKnightMoves (0)
 1.7     -     -              Chess allowableSingleMoves (829908)
 1.6    .4    .4            Chess allowablePawnCaptures (0)
 1.2     -     -              Chess allowableSingleMoves (3141561)
 1.6    .7    .1            Chess allowablePawnMoves (3141561)
 1.5    .6    .1              Chess allowablePawnNonCaptures (3141561)
 1.4    .5    .4                Chess pawnMoves (3141561)
  .9     -     -                  Chess dirLocsSingle (5253312)
 1.1     -     -            Chess allowableBishopMoves (0)
 1.1     -     -              Chess allowableMultiMoves (718907)
 1.0     -     -            Chess allowableQueenMoves (0)
 1.0     -     -              Chess allowableMultiMoves (396940)
 1.0     -     -            Chess allowableRookMoves (0)
 1.0     -     -              Chess allowableMultiMoves (825745)
  .3     -     -            Chess indexToPiece (6254147)


 5.5   5.5   5.5  Chess isEmptyGrid (131689375)


 4.6   4.6   2.9  Chess movePiece' (14389476)
 1.2   1.2   1.2    Chess removePiece' (13886378)
  .5    .5    .2    Chess checkPromote (13350296)
  .3    .3    .3      Chess lastRank (13350296)


 3.1   2.2    .8  Chess allowableMultiMoves (1941592)
 2.2   1.3   1.1    Chess dirLocs (9354128)
  .6     -     -      Chess $sel:apply:Dir (13407659)
  .3     -     -      Chess indexToColor2 (8820980)


 3.7   1.7   1.5  Chess allowableSingleMoves (4384610)
 2.0     -     -    Chess dirLocsSingle (15651074)


 2.9   1.3   1.1  Chess dirLocsSingle (20904386)
  .8     -     -    Chess $sel:apply:Dir (20904386)
  .8     -     -    Chess indexToColor2 (16810375)


 1.1   1.1   1.1  Chess onBoard (397480461)


 1.1   1.1   1.1  Chess indexToPiece (27852084)


 1.0   1.0     -  Chess ztnDeepDescend (0)
 1.0   1.0     -    Chess critsOnly (0)
 1.0   1.0    .4      Chess critical (0)
  .5    .5    .5        Chess isCritical (22470654)


  .7    .7    .7  Chess filterLocsByChar (1307727)


99.9    .4     -  MAIN MAIN (0)
99.9    .4     -    Main main (0)
99.9    .4     -      GameRunner startGame (1)
99.9    .4     -        GameRunner startGameLoop (1)
99.9    .4     -          GameRunner loop (9)
99.8    .4     -            GameRunner computersTurn (4)
99.8    .4     -              System.Time.Extra duration (4)
99.4     -     -                GameRunner searchTo (4)
  .4    .4     -                ChessText showCompMove (4)
  .4    .4     -                  ChessText printMoveChoiceInfo (4)
  .4    .4    .4                    Strat.ZipTree treeSize (4)
  .2     -     -            GameRunner playersTurn (5)
  .2     -     -              GameRunner searchTo (5)


  .9    .3    .3  Chess updateKingLocs (14049410)
  .6     -     -    Chess indexToPiece (13512169)


  .6    .3    .2  Chess castlingStatus (540939)
  .3     -     -    Chess filterLocsByChar (540939)
  .1    .1    .1    Chess calcPiecePositionScore (408541)


  .4    .3    .1  Strat.ZipTree maxLoop (234186)
  .1     -     -    Strat.ZipTree minLoop (8425)
  .1    .1    .1    Strat.ZipTree updateAlphaBeta (134836)


  .6    .2     -  Chess multiMoveMobility (1017092)
  .5    .1    .2    Chess dirLocsCount (4068368)
  .2     -     -      Chess $sel:apply:Dir (5742114)
  .2     -     -      Chess isEmptyGrid (3536947)


  .4    .1    .1  Strat.ZipTree minLoop (22966)
  .3     -     -    Strat.ZipTree maxLoop (110091)
